Escalas del crecimiento	Scales of growth
Reparto, clasificación y almacenes. Las tareas de conducción y acceso dependen del entorno y de la supervisión.	Delivery, sorting and warehouses. Driving and access depend on the environment and supervision.
Reposición, preparación y limpieza. La atención, las excepciones y las decisiones siguen requiriendo personas.	Stocking, preparation and cleaning. Service, exceptions and decisions still require people.
Transporte de material y operaciones repetibles. Diseñar, coordinar y trabajar en entornos cambiantes mantiene tareas humanas.	Material handling and repeatable operations. Design, coordination and changing environments retain human tasks.
Limpieza de espacios y mantenimiento rutinario. El acceso, las averías y las situaciones inesperadas limitan la automatización.	Cleaning spaces and routine maintenance. Access, breakdowns and unexpected situations limit automation.
Transporte interno, material y apoyo físico. El cuidado personal, el juicio clínico y la responsabilidad permanecen en manos humanas.	Internal transport, materials and physical support. Personal care, clinical judgment and responsibility remain human.
Apoyo logístico, espacios y tareas administrativas simples. Enseñar, acompañar y decidir no se representan como sustituidos por completo.	Logistics, spaces and simple administrative support. Teaching, supporting people and deciding are not shown as fully replaced.
 disponibles sin tarea asignada	 available without an assigned task
Fin del escenario. Cambia la hipótesis o compara otra distribución.	Scenario complete. Change the hypothesis or compare another distribution.
Se alcanzó el alcance de esta hipótesis. Los robots adicionales esperan nuevas tareas.	This hypothesis has reached its scope. Additional robots wait for new tasks.
Los nuevos robots llegan desde la industria y se distribuyen automáticamente.	New robots arrive from industry and are allocated automatically.
 tareas cubiertas de 	 covered tasks out of 
Esta hipótesis permite cubrir hasta 	This hypothesis allows up to 
 tareas de este sector.	 tasks in this sector to be covered.
Una figura ≈ 	One figure ≈ 
 tareas · naranja: humanos · claro: robots	 tasks · orange: humans · light: robots
Limitado	Limited
Intermedio	Intermediate
Amplio	Broad
Ciudad	City
ESCALA 01	SCALE 01
ESCALA 02	SCALE 02
 sobre 	 out of 
Incluyen estructura, actuadores, batería, controladores y sensores.	They include the structure, actuators, battery, controllers and sensors.
