 personas con su tarea industrial cubierta por robots.	 people with their industrial task covered by robots.
Es la hora de comer.	It is lunchtime.
El comedor espera la siguiente pausa.	The dining hall awaits the next break.
 recargando · 	 charging · 
 en mantenimiento	 in maintenance
 robots destinados a otros usos.	 robots sent to other uses.
Suministro externo supuesto.	External supply assumed.
Robots acumulados hasta el día 	Cumulative robots through day 
 en esta estrategia y 	 with this strategy and 
 reforzando solo montaje.	 reinforcing assembly only.
Este escenario no alcanza este momento	This scenario does not reach this moment
Red robotizada	Robot workforce
Ampliaciones	Expansions
Relevos	Handovers
Inicio	Start
Escenas	Scenes
Fábrica de robots	Robot factory
Distrito	District
DENTRO DE LA FÁBRICA	INSIDE THE FACTORY
El ritmo lo marca el más lento.	The slowest step sets the pace.
Elige un puesto. Incorpora robots.<br>Mira qué ocurre con las piezas.	Choose a station. Add robots.<br>Watch what happens to the parts.
Interior isométrico de la fábrica	Isometric factory interior
Cinco puestos conectados por cintas, diez personas, una zona de descanso y robots que se incorporan a la línea	Five stations connected by conveyors, ten people, a rest area and robots joining the line
Preparando la línea…	Preparing the line…
LÍNEA 01	LINE 01
EN PAUSA	PAUSED
EN MARCHA	RUNNING
Arrastra · pellizca para acercar	Drag · pinch to zoom
Alejar fábrica	Zoom out
Ver fábrica completa	Fit the factory
Acercar fábrica	Zoom in
Reproducción de la fábrica	Factory playback
08:00 → 08:00 · un día completo	08:00 → 08:00 · one full day
Reiniciar fábrica	Reset factory
☕ Ver la comida	☕ See lunch break
☾ Ver la noche	☾ See nighttime
Completar el día →	Complete the day →
Producción de robots	Phone production
Terminados hoy	Finished today
desde el inicio	since the start
Solo humanos · mismo instante	Humans only · same moment
La misma línea sin automatizar	The same line without automation
El límite de la cadena	The limit of the chain
El menor potencial de producción diaria	The lowest daily production potential
Puesto seleccionado	Selected station
PUESTO 	STATION 
capacidad / h	capacity / h
Trabajo en este puesto	Work at this station
En espera	Waiting
Piezas esperando	Parts waiting
+ Incorporar un robot	+ Add a robot
Cubre la tarea de una persona. Llega en 15 minutos simulados.	Covers one person's task. Arrives in 15 simulated minutes.
OBSERVA ESTO	WATCH THIS
Si aceleras montaje, las piezas pueden acumularse delante de pruebas. Cuenta los robots que salen, no los que esperan.	Faster assembly can create a pile of parts before testing. Count the robots leaving, not those waiting.
¿Cuántos en un día completo?	How many in a full day?
Ensayo de 24 h desde las 08:00, con la configuración actual fija y la misma cantidad inicial de kits.	A 24-hour trial from 08:00, with the current setup fixed and the same initial supply of kits.
Tu configuración	Your setup
Este ensayo empieza con la línea vacía. El contador de hoy refleja tus cambios durante la partida.	This trial starts with an empty line. Today's counter reflects changes you made during the simulation.
Seleccionar un puesto	Select a station
SIGUE UNA PIEZA	FOLLOW A PART
Del kit al robot terminado	From kit to finished robot
Modelo didáctico · cifras ilustrativas, no datos de Tesla.	Educational model · illustrative figures, not Tesla data.
Ver supuestos	View assumptions
CÓMO LEER LA FÁBRICA	HOW TO READ THE FACTORY
Más rápido en un puesto.<br>¿Más robots al final?	Faster at one station.<br>More robots at the end?
El número importante es el de robots que salen de puesta en marcha. Cada robot consume un kit y pasa por los cinco puestos. Las pilas pequeñas muestran las piezas que esperan; el suministro y las cajas de salida usan una representación resumida. El movimiento por la cinta forma parte del ciclo de cada puesto.	The important number is robots leaving commissioning. Each robot consumes one kit and passes through all five stations. Small stacks show waiting parts; supply and output boxes are summarized visually. Conveyor movement forms part of each station's cycle.
Empiezas con diez personas. Cada robot cubre una tarea humana y llega del exterior. Aquí no se fabrican nuevos robots: esta escena muestra el efecto de automatizar una línea.	You start with ten people. Each robot covers one human task and arrives from outside. No new robots are built here: this scene shows the effect of automating a line.
Dos por puesto. Un turno: 08–12 y 14–18.	Two per station. One shift: 08–12 and 14–18.
Hasta dos por puesto. Cada uno: 21 h disponible, 2 h de recarga y 1 h de mantenimiento, con horarios distintos.	Up to two per station. Each has 21 h available, 2 h charging and 1 h maintenance, with staggered schedules.
Un robot aporta 1,4 veces el ritmo de una persona en este ejemplo. También limita la maquinaria.	A robot contributes 1.4 times a person's rate in this example. Machinery also limits output.
160 kits iniciales y hasta 160 nuevos cada día a las 08:00. Incluyen estructura, actuadores, batería, controladores y sensores. Hasta 16 piezas entre puestos.	160 initial kits and up to 160 new kits daily at 08:00. They include the structure, actuators, battery, controllers and sensors. Up to 16 parts can wait between stations.
El ensayo mantiene la configuración durante 24 horas completas. Incluye esperas y descansos; no multiplica sin más el ritmo de una hora por 24.	The trial holds the setup fixed for a full 24 hours. It includes waiting and breaks; it does not simply multiply one hour's rate by 24.
Todos estos valores son supuestos para aprender, no productividades reales ni plazos previstos. Una fábrica humana puede organizar varios turnos. Se omiten averías, rechazos, costes y el tiempo real de adaptar los puestos.	All values are learning assumptions, not real productivity figures or predicted timelines. A human factory can organize multiple shifts. Breakdowns, rejected units, costs and real station adaptation time are omitted.
No se pudo iniciar el mundo 3D. Los controles y la comparación siguen disponibles.	The 3D world could not start. Controls and comparisons remain available.
Seleccionar 	Select 
Pausar fábrica	Pause factory
Reproducir fábrica	Play factory
 · ayer 	 · yesterday 
 completado: 	 completed: 
 robots en tu fábrica · 	 robots in your factory · 
 solo con humanos.	 with humans only.
Suministro de kits	Kit supply
Entran hasta 160 kits al día del exterior.	Up to 160 kits arrive daily from outside.
Menor capacidad diaria teórica · las colas muestran las esperas actuales	Lowest theoretical daily capacity · queues show current waiting
Kits disponibles	Available kits
Puesto robotizado	Station automated
Las dos tareas tienen relevo. La maquinaria, los materiales y las pausas aún pueden limitar el puesto.	Both tasks are covered by robots. Machinery, materials and breaks can still limit this station.
La salida está llena. Este puesto tiene que parar hasta que el siguiente retire piezas. Añadir aquí otro robot no resuelve esa espera.	The output queue is full. This station must stop until the next one takes parts. Adding another robot here will not resolve the wait.
En este momento no hay personal disponible. Los humanos descansan y cada robot también tiene su horario de recarga y mantenimiento.	No workers are available now. People are resting, and each robot also has a charging and maintenance schedule.
Se han agotado los kits. El siguiente suministro llega a las 08:00. Más robots no pueden fabricar sin materiales.	Kits have run out. The next delivery arrives at 08:00. More robots cannot produce without materials.
Este puesto espera a los anteriores. La capacidad que ves es lo que podría hacer con piezas; no es producción terminada.	This station is waiting for earlier stages. Its capacity is what it could produce with parts; it is not finished output.
Este puesto tiene la menor capacidad diaria de la línea. Reforzarlo puede aumentar la salida, hasta que el límite pase a otro puesto o al suministro.	This station has the lowest daily capacity. Reinforcing it can increase output until another station or supply becomes the limit.
La línea ya tiene más capacidad que el suministro diario de kits. Para seguir creciendo también harían falta más componentes del exterior.	The line already has more capacity than the daily kit supply. Further growth also requires more components from outside.
Acelerar 	Speeding up 
 puede llenar la cola de otro puesto. El límite diario está en 	 can fill another station's queue. The daily limit is at 
. Mira los robots que salen de puesta en marcha.	. Watch the robots leaving commissioning.
 en cola	 in queue
Reunir la placa, la memoria RAM, los sensores y el resto del kit.	Gather the circuit board, RAM, sensors and the rest of the kit.
Fijar la placa y conectar los componentes en la carcasa.	Secure the circuit board and connect components inside the housing.
Instalar la pantalla, conectar la batería y cerrar el robot.	Install the screen, connect the battery and close the robot.
Comprobar la pantalla, la carga, las cámaras y las conexiones.	Check the screen, charging, cameras and connections.
Proteger y embalar el robot terminado para su salida.	Protect and package the finished robot for dispatch.
Preparación	Preparation
Preparar	Prepare
Actuadores y batería	Actuators and battery
Completar	Complete
Activar	Pack
Puesta en marcha	Commissioning
Montar	Assemble
Probar	Test
Descanso humano	Human rest
Salida llena	Output queue full
Llega el relevo	Robot arriving
Sin personal disponible	No workers available
Esperando suministro	Waiting for supply
Espera piezas	Waiting for parts
En producción	In production
Sin turno disponible	No available shift
Esperando materiales	Waiting for materials
Suministro insuficiente	Insufficient supply
Ampliación en marcha	Expansion under way
Maquinaria al máximo	Machinery at capacity
Por probar	Awaiting testing
KITS · PLACA + RAM + COMPONENTES	KITS · BOARD + RAM + COMPONENTS
ROBOTS TERMINADOS	FINISHED ROBOTS
RECARGA Y SERVICIO	CHARGING AND SERVICE
DESCANSO	REST AREA
Extracción y preparación de minerales. Es el comienzo de las cuatro cadenas de componentes.	Mineral extraction and preparation. The start of all four component chains.
Refinado y transformación. Cada lote abastece las cuatro familias de componentes del modelo.	Refining and processing. Each batch supplies all four component families in the model.
Carcasas, bastidores y piezas mecanizadas. Una de las cuatro entradas necesarias para montar un robot.	Housings, frames and machined parts. One of four inputs needed to assemble a robot.
Motores, transmisiones y articulaciones. Los robots ayudan a fabricar los mecanismos que les permiten moverse.	Motors, transmissions and joints. Robots help build the mechanisms that let them move.
Preparación y ensamblaje de baterías. Los insumos químicos especializados se suponen disponibles.	Battery preparation and assembly. Specialized chemical inputs are assumed available.
Electrónica de control, cableado y sensores. La fabricación especializada y sus equipos se representan de forma agregada.	Control electronics, wiring and sensors. Specialized manufacturing and equipment are represented in aggregate.
Reúne una estructura, motores, una batería y electrónica. Sin las cuatro familias no sale un kit.	Combines a structure, motors, a battery and electronics. No kit leaves without all four families.
Los kits se convierten en robots. Al principio trabajan personas; después se incorporan los robots nuevos.	Kits become robots. People work here initially; newly built robots join later.
Verificación, calibración y puesta a punto. Solo los robots terminados pueden incorporarse a trabajar.	Verification, calibration and commissioning. Only finished robots can join the workforce.
Refinería y metales	Refinery and metals
Motores y actuadores	Motors and actuators
Electrónica y sensores	Electronics and sensors
Centro logístico	Logistics hub
Montaje de robots	Robot assembly
Pruebas y calibración	Testing and calibration
lotes de mineral	ore batches
lotes refinados	refined batches
conjuntos de motores	motor sets
conjuntos electrónicos	electronic sets
kits completos	complete kits
robots ensamblados	assembled robots
robots terminados	finished robots
estructuras	structures
baterías	batteries
Estructuras	Structures
Baterías	Batteries
Electrónica	Electronics
Actuadores	Actuators
Metales	Metals
Mineral	Ore
Mina	Mine
Montaje y pruebas	Assembly and testing
Montaje	Assembly
Pruebas	Testing
Materiales	Materials
Procesamiento	Processing
Componentes	Components
Logística	Logistics
Comparación	Comparison
Ritmo	Rate
Explicación del lugar seleccionado	Explanation of the selected place
EXPLICACIÓN DEL LUGAR	PLACE EXPLANATION
Pausar explicación	Pause explanation
Repetir explicación	Replay explanation
Cerrar explicación	Close explanation
Qué ocurre ahora →	What is happening now →
Leer la explicación	Read the explanation
La simulación está en pausa. Pulsa Reproducir para continuar.	The simulation is paused. Press Play to continue.
Cargando voz…	Loading voice…
Escuchando	Listening
Narración en pausa	Narration paused
Pulsa ▶ para escuchar	Press ▶ to listen
No se pudo cargar la voz. Puedes leer la explicación o reintentar.	The voice could not load. Read the explanation or try again.
Explicación terminada	Explanation finished
Escuchar explicación	Listen to explanation
Voz activada	Voice on
Voz desactivada	Voice off
Explicar cada lugar al seleccionarlo	Explain each place when selected
Desactivar narración al seleccionar	Turn off narration on selection
Activar narración al seleccionar	Turn on narration on selection
Solo humanos	Humans only
Humanos	Humans
personas	people
producidos	produced
Velocidad	Speed
En marcha	Running
En pausa	Paused
Reproducir	Play
Pausar	Pause
Repetir	Replay
Cerrar	Close
DÍA 	DAY 
Día 	Day 
Ver 	View 
es-ES	en-US
